label,name,description,source,coding_instructions,id,complete,header,input,double_enter,type,valid_values,show_valid_values,unknown,value_labels,logic_checks,logic_prompts,logic_must_be_true,calculated,equation,visible,group1,group2
Date of discharge from ICU,ddicu,The date when the participant was discharged from the intensive care unit (ICU) of the participating centre during the first 30 days of admission,1. Direct observation by project officer 2. Hospital record 3. Participant 4. Participant relative 5. Other person present who claim to know the participant,"Code using the format YYYY-MM-DD, where YYYY is a four digit year, MM a two digit month and DD a two digit day. Assign the code 0 if the participant was not admitted to ICU during the first 30 days of admission. Assign the code 99 if the participant was admitted but not discharged from ICU during the first 30 days of admission. If not available code as 999.",no,no,no,yes,yes,date,"0,99",yes,999,"","","","",no,"",yes,Interventions and follow up,""
Time of discharge from ICU,tdicu,The time when the participant was discharged from the intensive care unit (ICU) of the participating centre during the first 30 days of admission,1. Direct observation by project officer 2. Hospital record 3. Participant 4. Participant relative 5. Other person present who claim to know the participant,"Code using the format HH:MM, where HH is a two digit hour and MM is a two digit minute. Assign the code 0 if the participant was not admitted to ICU during the first 30 days of admission. Assign the code 99 if the participant was admitted but not discharged from ICU during the first 30 days of admission. If not available code as 999.",no,no,no,yes,yes,time,"0,99",yes,999,"","","","",no,"",yes,Interventions and follow up,""
Date of surgery,dos,The date when the participant was first taken to operating room for surgery in the participating centre during the first 30 days of admission. Surgery is here defined as a surgical intervention performed under general or regional anaesthesia.,1. Direct observation by project officer 2. Hospital record 3. Participant 4. Participant relative 5. Other person present who claim to know the participant,"Code using the format YYYY-MM-DD, where YYYY is a four digit year, MM a two digit month and DD a two digit day. Assign the code 0 if the participant was not taken to the operating room for surgery during the first 30 days of admission. If not available code as 999.",no,no,no,yes,yes,date,0,yes,999,"","","","",no,"",yes,Interventions and follow up,""
Time of surgery,tos,The time when the participant was first taken to operating room for surgery in the participating centre during the first 30 days of admission. Surgery is here defined as a surgical intervention performed under general or regional anaesthesia.,1. Direct observation by project officer 2. Hospital record 3. Participant 4. Participant relative 5. Other person present who claim to know the participant,"Code using the format HH:MM, where HH is a two digit hour and MM is a two digit minute. Assign the code 0 if the participant was not taken to the operating room for surgery during the first 30 days of admission. If not available code as 999.",no,no,no,yes,yes,time,0,yes,999,"","","","",no,"",yes,Interventions and follow up,""
Surgery,s,The type of surgery performed when the participant was first taken to operating room for surgery in the participating centre during the first 30 days of admission. Surgery is here defined as a surgical intervention performed under general or regional anaesthesia.,Hospital record,Enter as free text extracted from the operating notes in the hospital record. Assign the code 0 if there was no surgery.,no,no,no,yes,no,text,"",yes,999,"","","","",no,"",yes,Interventions and follow up,""
Hospital disposition,hd,Indicator of patient status at discharge from participating centre.,Hospital record,If unknown code as 999.,no,no,no,yes,yes,qualitative,"0,1,2,3",yes,999,"""Alive and discharged home"", ""Dead"", ""Alive and transferred to other hospital"", ""Alive and discharged against medical advice/absconded""","","","",no,"",yes,Interventions and follow up,""
Date of death in hospital or discharge,dodd,The date when the participant died in hospital or was discharged,Hospital record,"Code using the format YYYY-MM-DD, where YYYY is a four digit year, MM a two digit month and DD a two digit day. If not available code as 999, but also alert the core team.",no,no,no,yes,yes,date,"",yes,999,"","","","",no,"",yes,Interventions and follow up,""
Time of death in hospital or discharge,todd,The time when the participant died in hospital or was discharged,Hospital record,"Code using the format HH:MM, where HH is a two digit hour and MM is a two digit minute. If not available code as 999, but also alert the core team.",no,no,no,yes,yes,time,"",yes,999,"","","","",no,"",yes,Interventions and follow up,""
Status at 24 hours after arrival,s24h,Indicator of patient status at 24 hours after arrival to participating centre.,1. Hospital record if patient still admitted 2. Phone call to patient 3. Phone call to patient representative,If unknown code as 999.,no,no,no,yes,yes,qualitative,"0,1,2",yes,999,"""Alive"", ""Dead"", ""Alive and admitted to other hospital""","","","",no,"",yes,Interventions and follow up,""
Status at 30 days after arrival,s30d,Indicator of patient status at 30 days after arrival to participating centre.,1. Hospital record if patient still admitted 2. Phone call to patient 3. Phone call to patient representative,If unknown code as 999.,no,no,no,yes,yes,qualitative,"0,1,2",yes,999,"""Alive"", ""Dead"", ""Alive and admitted to other hospital""","","","",no,"",yes,Interventions and follow up,""
Status at 6 months after arrival,s6m,Indicator of patient status at 6 months after arrival to participating centre.,1. Hospital record if patient still admitted 2. Phone call to patient 3. Phone call to patient representative,If unknown code as 999.,no,no,no,yes,yes,qualitative,"0,1,2",yes,999,"""Alive"", ""Dead"", ""Alive and admitted to other hospital""","","","",no,"",yes,Interventions and follow up,""
"External injury 1, free text description",einj1,A unique injury sustained by the participant,"Hospital record, physician's notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,"",yes,999,"","","","",no,"",yes,Injuries,External injury 1
"External injury 1, ICD-10 code",einj1icd,The ICD-10 code corresponding to the previous injury description,Project officer,Enter the <a href='http://apps.who.int/classifications/icd10/browse/2016/en#/XIX' target = '_blank'>ICD-10 code</a> corresponding to the injury in the previous field,no,no,no,yes,yes,icd10,"S00,S000,S001,S002,S003,S004,S005,S007,S008,S009,S01,S010,S011,S012,S013,S014,S015,S017,S018,S019,S02,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S03,S030,S031,S032,S033,S034,S035,S04,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S05,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S06,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S07,S070,S071,S078,S079,S08,S080,S081,S088,S089,S09,S090,S091,S092,S097,S098,S099,S10,S100,S101,S107,S108,S109,S11,S110,S111,S112,S117,S118,S119,S12,S120,S121,S122,S127,S128,S129,S13,S130,S131,S132,S133,S134,S135,S136,S14,S140,S141,S142,S143,S144,S145,S146,S15,S150,S151,S152,S153,S157,S158,S159,S16,S17,S170,S178,S179,S18,S19,S197,S198,S199,S20,S200,S201,S202,S203,S204,S207,S208,S21,S210,S211,S212,S217,S218,S219,S22,S220,S221,S222,S223,S224,S225,S228,S229,S23,S230,S231,S232,S233,S234,S235,S24,S240,S241,S242,S243,S244,S245,S246,S25,S250,S251,S252,S253,S254,S255,S257,S258,S259,S26,S260,S268,S269,S27,S270,S271,S272,S273,S274,S275,S276,S277,S278,S279,S28,S280,S281,S29,S290,S297,S298,S299,S30,S300,S301,S302,S307,S308,S309,S31,S310,S311,S312,S313,S314,S315,S317,S318,S32,S320,S321,S322,S323,S324,S325,S327,S328,S33,S330,S331,S332,S333,S334,S335,S336,S337,S34,S340,S341,S342,S343,S344,S345,S346,S348,S35,S350,S351,S352,S353,S354,S355,S357,S358,S359,S36,S360,S361,S362,S363,S364,S365,S366,S367,S368,S369,S37,S370,S371,S372,S373,S374,S375,S376,S377,S378,S379,S38,S380,S381,S382,S383,S39,S390,S396,S397,S398,S399,S40,S400,S407,S408,S409,S41,S410,S411,S417,S418,S42,S420,S421,S422,S423,S424,S427,S428,S429,S43,S430,S431,S432,S433,S434,S435,S436,S437,S44,S440,S441,S442,S443,S444,S445,S447,S448,S449,S45,S450,S451,S452,S453,S457,S458,S459,S46,S460,S461,S462,S463,S467,S468,S469,S47,S48,S480,S481,S489,S49,S497,S498,S499,S50,S500,S501,S507,S508,S509,S51,S510,S517,S518,S519,S52,S520,S521,S522,S523,S524,S525,S526,S527,S528,S529,S53,S530,S531,S532,S533,S534,S54,S540,S541,S542,S543,S547,S548,S549,S55,S550,S551,S552,S557,S558,S559,S56,S560,S561,S562,S563,S564,S565,S567,S568,S57,S570,S578,S579,S58,S580,S581,S589,S59,S597,S598,S599,S60,S600,S601,S602,S607,S608,S609,S61,S610,S611,S617,S618,S619,S62,S620,S621,S622,S623,S624,S625,S626,S627,S628,S63,S630,S631,S632,S633,S634,S635,S636,S637,S64,S640,S641,S642,S643,S644,S647,S648,S649,S65,S650,S651,S652,S653,S654,S655,S657,S658,S659,S66,S660,S661,S662,S663,S664,S665,S666,S667,S668,S669,S67,S670,S678,S68,S680,S681,S682,S683,S684,S688,S689,S69,S697,S698,S699,S70,S700,S701,S707,S708,S709,S71,S710,S711,S717,S718,S72,S720,S721,S722,S723,S724,S727,S728,S729,S73,S730,S731,S74,S740,S741,S742,S747,S748,S749,S75,S750,S751,S752,S757,S758,S759,S76,S760,S761,S762,S763,S764,S767,S77,S770,S771,S772,S78,S780,S781,S789,S79,S797,S798,S799,S80,S800,S801,S807,S808,S809,S81,S810,S817,S818,S819,S82,S820,S821,S822,S823,S824,S825,S826,S827,S828,S829,S83,S830,S831,S832,S833,S834,S835,S836,S837,S84,S840,S841,S842,S847,S848,S849,S85,S850,S851,S852,S853,S854,S855,S857,S858,S859,S86,S860,S861,S862,S863,S867,S868,S869,S87,S870,S878,S88,S880,S881,S889,S89,S897,S898,S899,S90,S900,S901,S902,S903,S907,S908,S909,S91,S910,S911,S912,S913,S917,S92,S920,S921,S922,S923,S924,S925,S927,S929,S93,S930,S931,S932,S933,S934,S935,S936,S94,S940,S941,S942,S943,S947,S948,S949,S95,S950,S951,S952,S957,S958,S959,S96,S960,S961,S962,S967,S968,S969,S97,S970,S971,S978,S98,S980,S981,S982,S983,S984,S99,S997,S998,S999,T00,T000,T001,T002,T003,T006,T008,T009,T01,T010,T011,T012,T013,T016,T018,T019,T02,T020,T021,T022,T023,T024,T025,T026,T027,T028,T029,T03,T030,T031,T032,T033,T034,T038,T039,T04,T040,T041,T042,T043,T044,T047,T048,T049,T05,T050,T051,T052,T053,T054,T055,T056,T058,T059,T06,T060,T061,T062,T063,T064,T065,T068,T07,T08,T09,T090,T091,T092,T093,T094,T095,T096,T098,T099,T10,T11,T110,T111,T112,T113,T114,T115,T116,T118,T119,T12,T13,T130,T131,T132,T133,T134,T135,T136,T138,T139,T14,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T15,T150,T151,T158,T159,T16,T17,T170,T171,T172,T173,T174,T175,T178,T179,T18,T180,T181,T182,T183,T184,T185,T188,T189,T19,T190,T191,T192,T193,T198,T199,T20,T200,T201,T202,T203,T204,T205,T206,T207,T21,T210,T211,T212,T213,T214,T215,T216,T217,T22,T220,T221,T222,T223,T224,T225,T226,T227,T23,T230,T231,T232,T233,T234,T235,T236,T237,T24,T240,T241,T242,T243,T244,T245,T246,T247,T25,T250,T251,T252,T253,T254,T255,T256,T257,T26,T260,T261,T262,T263,T264,T265,T266,T267,T268,T269,T27,T270,T271,T272,T273,T274,T275,T276,T277,T28,T280,T281,T282,T283,T284,T285,T286,T287,T288,T289,T29,T290,T291,T292,T293,T294,T295,T296,T297,T30,T300,T301,T302,T303,T304,T305,T306,T307,T31,T310,T311,T312,T313,T314,T315,T316,T317,T318,T319,T32,T320,T321,T322,T323,T324,T325,T326,T327,T328,T329,T33,T330,T331,T332,T333,T334,T335,T336,T337,T338,T339,T34,T340,T341,T342,T343,T344,T345,T346,T347,T348,T349,T35,T350,T351,T352,T353,T354,T355,T356,T357,T36,T360,T361,T362,T363,T364,T365,T366,T367,T368,T369,T37,T370,T371,T372,T373,T374,T375,T378,T379,T38,T380,T381,T382,T383,T384,T385,T386,T387,T388,T389,T39,T390,T391,T392,T393,T394,T398,T399,T40,T400,T401,T402,T403,T404,T405,T406,T407,T408,T409,T41,T410,T411,T412,T413,T414,T415,T42,T420,T421,T422,T423,T424,T425,T426,T427,T428,T43,T430,T431,T432,T433,T434,T435,T436,T438,T439,T44,T440,T441,T442,T443,T444,T445,T446,T447,T448,T449,T45,T450,T451,T452,T453,T454,T455,T456,T457,T458,T459,T46,T460,T461,T462,T463,T464,T465,T466,T467,T468,T469,T47,T470,T471,T472,T473,T474,T475,T476,T477,T478,T479,T48,T480,T481,T482,T483,T484,T485,T486,T487,T49,T490,T491,T492,T493,T494,T495,T496,T497,T498,T499,T50,T500,T501,T502,T503,T504,T505,T506,T507,T508,T509,T51,T510,T511,T512,T513,T518,T519,T52,T520,T521,T522,T523,T524,T528,T529,T53,T530,T531,T532,T533,T534,T535,T536,T537,T539,T54,T540,T541,T542,T543,T549,T55,T56,T560,T561,T562,T563,T564,T565,T566,T567,T568,T569,T57,T570,T571,T572,T573,T578,T579,T58,T59,T590,T591,T592,T593,T594,T595,T596,T597,T598,T599,T60,T600,T601,T602,T603,T604,T608,T609,T61,T610,T611,T612,T618,T619,T62,T620,T621,T622,T628,T629,T63,T630,T631,T632,T633,T634,T635,T636,T638,T639,T64,T65,T650,T651,T652,T653,T654,T655,T656,T658,T659,T66,T67,T670,T671,T672,T673,T674,T675,T676,T677,T678,T679,T68,T69,T690,T691,T698,T699,T70,T700,T701,T702,T703,T704,T708,T709,T71,T73,T730,T731,T732,T733,T738,T739,T74,T740,T741,T742,T743,T748,T749,T75,T750,T751,T752,T753,T754,T758,T78,T780,T781,T782,T783,T784,T788,T789,T79,T790,T791,T792,T793,T794,T795,T796,T797,T798,T799,T80,T800,T801,T802,T803,T804,T805,T806,T808,T809,T81,T810,T811,T812,T813,T814,T815,T816,T817,T818,T819,T82,T820,T821,T822,T823,T824,T825,T826,T827,T828,T829,T83,T830,T831,T832,T833,T834,T835,T836,T838,T839,T84,T840,T841,T842,T843,T844,T845,T846,T847,T848,T849,T85,T850,T851,T852,T853,T854,T855,T856,T857,T858,T859,T86,T860,T861,T862,T863,T864,T868,T869,T87,T870,T871,T872,T873,T874,T875,T876,T88,T880,T881,T882,T883,T884,T885,T886,T887,T888,T889,T90,T900,T901,T902,T903,T904,T905,T908,T909,T91,T910,T911,T912,T913,T914,T915,T918,T919,T92,T920,T921,T922,T923,T924,T925,T926,T928,T929,T93,T930,T931,T932,T933,T934,T935,T936,T938,T939,T94,T940,T941,T95,T950,T951,T952,T953,T954,T958,T959,T96,T97,T98,T980,T981,T982,T983",no,999,"","","","",no,"",yes,Injuries,External injury 1
